date,alternatieve_brandstoffen,batterij-elektrisch_voertuig,batterij-elektrische_voertuigen,batterij-elektrische_voertuigen_en_plug-in_hybride_elektrische_voertuigen,elektrische_voertuigen_op_celbasis,laadinfrastructuur,laadnetwerk,laadpunt,laadpunten,laadstations,uitrol_van_elektrische_voertuigen,elektrische_auto,markt_voor_elektrische_autoâ€™s
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2007-02-01,0,0,0,0,0,0,0,59,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,100,0,0,0,0,0,0,0,0,0,0,1,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0
2008-05-01,0,0,0,100,0,0,0,0,0,0,0,1,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,3,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2008-09-01,0,0,0,0,0,0,100,0,0,0,0,3,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,3,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,2,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,3,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,3,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,3,0
2009-03-01,0,0,0,0,0,0,0,0,0,100,0,3,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,6,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,6,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,6,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,6,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,7,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,6,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,3,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,4,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2011-02-01,48,0,0,0,0,0,0,0,0,0,0,6,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,6,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,9,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,7,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,8,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,100,6,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,5,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,7,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,6,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,8,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,8,0
2012-01-01,0,0,0,0,0,0,0,0,32,0,0,17,0
2012-02-01,0,0,0,0,0,0,0,0,22,0,0,19,0
2012-03-01,40,0,0,0,0,0,0,0,24,0,0,19,0
2012-04-01,0,0,0,0,0,0,0,20,0,0,0,14,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,11,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,12,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,10,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,10,0
2012-09-01,0,0,0,0,100,0,0,27,19,0,0,11,0
2012-10-01,0,0,0,0,0,0,0,16,0,0,0,11,0
2012-11-01,0,0,0,0,0,0,0,20,0,0,0,12,0
2012-12-01,0,0,0,0,0,0,0,19,0,0,0,11,0
2013-01-01,0,0,0,0,0,0,0,22,0,0,0,10,0
2013-02-01,0,0,0,0,0,0,0,20,18,0,0,10,0
2013-03-01,0,0,0,0,0,0,0,22,18,0,0,10,0
2013-04-01,0,0,0,0,0,0,0,21,26,0,0,10,0
2013-05-01,0,0,0,0,0,0,0,20,16,0,0,10,0
2013-06-01,0,0,0,0,0,0,0,18,16,0,0,9,0
2013-07-01,0,0,0,0,0,0,0,21,0,0,0,11,0
2013-08-01,0,0,0,0,0,0,0,46,28,0,0,13,0
2013-09-01,0,0,0,0,0,0,0,33,0,0,0,13,0
2013-10-01,0,0,0,0,0,0,0,52,21,0,0,13,0
2013-11-01,0,0,0,0,0,0,0,34,31,0,0,14,0
2013-12-01,0,0,0,0,0,0,0,46,36,0,0,17,0
2014-01-01,0,0,0,0,0,0,0,39,33,0,0,13,0
2014-02-01,0,0,0,0,0,0,0,30,28,0,0,11,0
2014-03-01,0,0,0,0,0,0,0,24,24,0,0,10,0
2014-04-01,0,0,0,0,0,0,0,40,26,0,0,11,0
2014-05-01,0,0,0,0,0,0,0,28,35,0,0,12,0
2014-06-01,0,0,0,0,0,0,0,35,24,0,0,12,0
2014-07-01,0,0,0,0,0,0,0,29,0,0,0,9,0
2014-08-01,0,0,0,0,0,0,0,25,26,0,0,9,0
2014-09-01,0,0,0,0,0,0,0,0,24,0,0,10,0
2014-10-01,0,0,0,0,0,0,0,18,27,0,0,11,0
2014-11-01,0,0,0,0,0,0,0,28,36,0,0,13,0
2014-12-01,0,0,0,0,0,0,0,21,42,0,0,10,0
2015-01-01,0,0,0,0,0,0,0,27,18,0,0,9,0
2015-02-01,0,0,0,0,0,0,0,29,25,0,0,9,0
2015-03-01,0,0,0,0,0,0,0,29,17,0,0,10,0
2015-04-01,0,0,0,0,0,0,0,22,26,0,0,9,0
2015-05-01,0,0,0,0,0,0,0,26,20,0,0,9,0
2015-06-01,0,0,0,0,0,0,0,25,21,0,0,11,0
2015-07-01,0,0,0,0,0,0,0,23,0,0,0,9,0
2015-08-01,0,0,0,0,0,0,0,23,0,0,0,9,0
2015-09-01,0,0,0,0,0,0,0,31,23,0,0,9,0
2015-10-01,0,0,0,0,0,0,0,22,27,0,0,11,0
2015-11-01,0,0,0,0,0,0,0,33,22,0,0,11,0
2015-12-01,0,0,0,0,0,0,0,37,31,0,0,12,0
2016-01-01,0,0,0,0,0,0,0,36,27,0,0,12,0
2016-02-01,0,0,0,0,0,0,0,33,19,0,0,11,0
2016-03-01,0,0,0,0,0,0,0,34,28,0,0,12,0
2016-04-01,0,0,0,0,0,0,0,14,30,0,0,12,0
2016-05-01,0,0,0,0,0,0,0,27,0,0,0,10,0
2016-06-01,0,0,0,0,0,0,0,13,19,0,0,9,0
2016-07-01,0,0,0,0,0,0,0,24,19,0,0,9,0
2016-08-01,0,0,0,0,0,0,0,24,24,0,0,10,0
2016-09-01,0,0,0,0,0,0,0,18,21,0,0,11,0
2016-10-01,0,0,0,0,0,0,0,30,19,0,0,13,0
2016-11-01,0,0,0,34,0,0,0,30,0,0,0,12,0
2016-12-01,0,0,0,0,0,0,0,27,26,0,0,14,0
2017-01-01,0,0,0,0,0,0,0,24,22,0,0,12,0
2017-02-01,0,0,0,0,0,0,0,29,27,0,0,10,0
2017-03-01,0,0,0,0,0,0,0,24,13,0,0,14,0
2017-04-01,0,0,0,0,0,0,0,16,18,0,0,14,0
2017-05-01,0,0,0,0,0,0,0,14,23,0,0,14,0
2017-06-01,0,0,0,0,0,0,0,30,14,0,0,14,0
2017-07-01,0,0,0,0,0,0,0,32,26,0,0,17,0
2017-08-01,0,0,0,0,0,0,0,25,20,0,0,14,0
2017-09-01,29,0,0,0,0,0,0,20,25,0,0,17,0
2017-10-01,0,0,0,0,0,0,0,23,17,0,0,18,0
2017-11-01,0,0,0,0,0,0,0,25,18,0,0,18,0
2017-12-01,0,0,0,0,0,0,0,23,20,0,0,21,0
2018-01-01,0,0,0,0,0,0,0,23,13,0,0,19,0
2018-02-01,0,0,0,0,0,0,0,14,22,0,0,19,0
2018-03-01,0,0,0,0,0,0,0,22,32,0,0,19,0
2018-04-01,0,0,0,0,0,0,0,32,22,0,0,20,0
2018-05-01,0,0,0,0,0,0,0,25,28,0,0,19,0
2018-06-01,0,0,0,0,0,0,0,32,31,0,0,20,0
2018-07-01,0,0,0,0,0,0,0,38,28,0,0,21,0
2018-08-01,0,0,0,0,0,0,0,29,26,0,0,21,0
2018-09-01,0,0,0,0,0,0,0,32,23,0,0,23,0
2018-10-01,0,0,100,0,0,0,0,37,23,0,0,30,0
2018-11-01,0,0,0,0,0,0,0,31,32,0,0,27,0
2018-12-01,0,0,0,0,0,0,0,44,36,27,0,39,0
2019-01-01,0,0,0,0,0,0,0,40,33,28,0,33,0
2019-02-01,0,0,0,0,0,0,0,40,46,29,0,26,0
2019-03-01,0,0,0,0,0,0,0,37,49,48,0,28,0
2019-04-01,0,0,0,0,0,0,0,35,38,0,0,27,0
2019-05-01,0,0,0,0,0,0,0,41,36,52,0,29,0
2019-06-01,0,0,0,0,0,0,0,47,33,31,0,27,0
2019-07-01,0,0,0,0,0,0,0,46,50,36,0,27,0
2019-08-01,0,0,0,0,0,0,0,41,35,0,0,25,0
2019-09-01,0,0,0,0,0,0,0,41,45,37,0,30,0
2019-10-01,0,0,0,0,0,82,0,45,61,32,0,32,0
2019-11-01,0,0,0,0,0,0,0,60,55,26,0,41,0
2019-12-01,0,0,0,0,0,0,0,48,72,56,0,39,0
2020-01-01,0,0,0,0,0,0,0,58,71,45,0,42,0
2020-02-01,0,0,0,0,0,0,0,58,63,49,0,39,0
2020-03-01,0,0,0,0,0,0,0,39,18,21,0,28,0
2020-04-01,0,0,0,0,0,0,0,28,28,0,0,22,0
2020-05-01,0,0,0,0,0,0,0,35,43,24,0,25,0
2020-06-01,0,100,0,0,0,0,0,32,43,27,0,33,0
2020-07-01,0,0,0,0,0,0,0,55,68,27,0,35,0
2020-08-01,0,0,0,0,0,0,0,49,49,28,0,28,0
2020-09-01,0,0,0,0,0,0,0,46,47,51,0,33,0
2020-10-01,0,0,0,0,0,0,0,51,37,27,0,34,0
2020-11-01,0,0,0,0,0,0,0,43,44,34,0,32,0
2020-12-01,0,0,0,0,0,0,0,54,63,46,0,33,0
2021-01-01,0,0,0,0,0,0,0,48,42,25,0,35,0
2021-02-01,0,0,0,0,0,0,0,45,26,0,0,33,0
2021-03-01,0,0,0,0,0,0,0,40,38,23,0,32,0
2021-04-01,0,0,0,0,0,0,0,46,45,51,0,34,0
2021-05-01,0,0,0,0,0,0,0,53,40,39,0,34,0
2021-06-01,0,0,0,0,0,0,0,55,43,23,0,37,0
2021-07-01,0,0,0,0,0,71,0,59,59,47,0,42,0
2021-08-01,0,0,0,0,0,0,0,62,58,50,0,46,0
2021-09-01,0,0,0,0,0,0,0,64,43,48,0,45,0
2021-10-01,0,0,0,0,0,0,0,76,58,46,0,57,0
2021-11-01,0,0,0,0,0,0,0,73,42,48,0,53,0
2021-12-01,0,0,0,0,0,0,0,66,54,43,0,48,0
2022-01-01,0,0,0,0,0,0,0,70,43,43,0,75,0
2022-02-01,0,0,0,0,0,69,0,100,48,42,0,61,0
2022-03-01,0,0,0,0,0,66,0,84,59,34,0,100,0
2022-04-01,0,0,0,0,0,0,0,82,55,56,0,69,0
2022-05-01,0,0,0,0,0,0,0,71,57,54,0,59,0
2022-06-01,0,0,0,0,0,0,0,74,77,47,0,68,0
2022-07-01,0,0,0,0,0,0,0,64,66,66,0,60,0
2022-08-01,0,0,0,0,0,0,0,64,54,71,0,53,0
2022-09-01,0,0,0,0,0,0,0,62,54,34,0,45,0
2022-10-01,0,0,0,0,0,0,0,59,49,29,0,45,0
2022-11-01,0,0,0,0,0,0,30,64,57,34,0,42,0
2022-12-01,0,0,0,0,0,0,0,69,83,39,0,44,0
2023-01-01,0,0,0,0,0,0,0,83,69,49,0,64,0
2023-02-01,0,0,0,0,0,0,0,66,75,50,0,47,0
2023-03-01,0,0,0,0,0,0,0,61,60,60,0,45,0
2023-04-01,0,0,0,0,0,0,0,73,69,40,0,58,0
2023-05-01,0,0,0,0,0,0,0,62,74,58,0,45,0
2023-06-01,0,0,0,0,0,0,0,72,52,57,0,47,0
2023-07-01,0,0,0,0,0,0,0,73,69,64,0,48,0
2023-08-01,0,0,0,0,0,0,0,73,73,49,0,49,0
2023-09-01,0,0,0,0,0,0,0,60,53,61,0,57,0
2023-10-01,0,0,0,0,0,0,0,71,46,47,0,51,0
2023-11-01,0,0,0,0,0,75,0,68,61,40,0,44,0
2023-12-01,0,0,0,0,0,0,0,77,63,57,0,43,0
2024-01-01,0,0,0,0,0,0,0,85,60,46,0,50,0
2024-02-01,0,0,0,0,0,99,0,70,71,71,0,46,0
2024-03-01,0,0,0,0,0,100,0,77,64,54,0,42,0
2024-04-01,0,0,0,0,0,85,0,70,68,47,0,54,100
2024-05-01,0,0,0,0,0,0,0,85,74,74,0,43,0
2024-06-01,0,0,0,0,0,0,0,75,68,61,0,41,0
2024-07-01,0,0,0,0,0,0,0,69,100,81,0,39,0
2024-08-01,0,0,0,0,0,0,0,74,63,60,0,42,0
2024-09-01,0,0,0,0,0,70,0,72,54,70,0,49,0
2024-10-01,0,0,0,0,0,100,0,65,50,42,0,49,0
2024-11-01,0,0,0,0,0,0,0,69,54,57,0,45,0
2024-12-01,0,0,0,0,0,0,0,66,46,63,0,44,0
2025-01-01,0,0,0,0,0,0,0,74,63,71,0,42,0
